epoch,train_loss,vali_loss,test_loss,val_acc,val_f1,val_auc,test_acc,test_f1,test_auc
1,0.7658205152519287,0.6818451741162468,0.5594408443995884,0.8235294117647058,0.5199999999999999,0.7421023770355005,0.8544642857142857,0.3895131086142322,0.695249495967742
2,0.58881952036773,0.6407837867736816,0.5541459236826215,0.8106617647058824,0.502415458937198,0.7143027442004625,0.8580357142857142,0.38132295719844356,0.6900831653225806
3,0.556896676820132,0.642947586143718,0.552650761604309,0.8069852941176471,0.5070422535211268,0.7791818075254953,0.8589285714285714,0.3779527559055118,0.6921780493951613
4,0.5506696383799276,0.6592365853926715,0.5678355302129473,0.8253676470588235,0.4973544973544974,0.7365790941949883,0.8571428571428571,0.3893129770992366,0.6853263608870968
5,0.5317290809846693,0.6587134757462669,0.5699609313692365,0.8106617647058824,0.5296803652968036,0.7529314420803783,0.8357142857142857,0.39072847682119205,0.6907447076612903
6,0.5365377195900486,0.6543516376439262,0.5605882559503828,0.8382352941176471,0.5111111111111111,0.7457449776785715,0.8285714285714286,0.3885350318471338,0.6853184853830645
7,0.5274832157358047,0.6593388143707725,0.556798928976059,0.8051470588235294,0.5092592592592593,0.7533426317814544,0.8196428571428571,0.38414634146341464,0.6857595136088709
8,0.522028468068569,0.6489281689419466,0.5576386111123222,0.8253676470588235,0.5026178010471205,0.7405673758865249,0.8383928571428572,0.3946488294314381,0.6861217867943548
9,0.5168282048356149,0.6455002497224247,0.5596902072429657,0.8290441176470589,0.5130890052356021,0.7533806146572104,0.8392857142857143,0.39189189189189183,0.687318863407258
10,0.5212259796117583,0.6499749597381143,0.5598205046994346,0.8253676470588235,0.4973544973544973,0.7418825460086742,0.8392857142857143,0.4000000000000001,0.685885521673387
11,0.52553863667192,0.6593824432176703,0.5599171689578465,0.7959558823529411,0.5110132158590308,0.7485396848103378,0.8383928571428572,0.39867109634551495,0.686098160282258
12,0.5190054614457392,0.6406566816217759,0.5601492813655309,0.7977941176470589,0.5175438596491229,0.7472098214285714,0.8375,0.3973509933774834,0.6854681199596775
13,0.524410302600553,0.6431141127558315,0.5598573122705732,0.7959558823529411,0.5194805194805195,0.7500697544642857,0.8375,0.3973509933774834,0.6865470640120968
14,0.5234549497404406,0.6749985691379098,0.5603762132780893,0.8033088235294118,0.5201793721973094,0.7505673758865249,0.8366071428571429,0.39603960396039606,0.6859170236895161
15,0.5254353586464159,0.6622290313243866,0.5604477380003248,0.8363970588235294,0.5136612021857925,0.7588350465002447,0.8366071428571429,0.39603960396039606,0.6859879032258064
16,0.5162629268823131,0.6579120369518504,0.5596346242087228,0.7996323529411765,0.5240174672489083,0.7607801418439717,0.8366071428571429,0.39603960396039606,0.686799080141129
17,0.526345589829068,0.660255467190462,0.5601192423275538,0.7996323529411765,0.5112107623318386,0.7567093112735668,0.8366071428571429,0.39603960396039606,0.6865076864919355
18,0.5275283810352126,0.6489404071779812,0.5604861583028521,0.8014705882352942,0.5178571428571429,0.7504630172312742,0.8366071428571429,0.39603960396039606,0.686098160282258
19,0.521999309139867,0.6496240408981547,0.5598637223243713,0.7977941176470589,0.5045045045045045,0.7449881796690307,0.8357142857142857,0.39473684210526316,0.6856965095766129
20,0.5266957498125492,0.6415636013535893,0.5599083917481559,0.8382352941176471,0.5268817204301075,0.7666666666666666,0.8366071428571429,0.39603960396039606,0.686428931451613
