epoch,train_loss,vali_loss,test_loss,val_acc,val_f1,val_auc,test_acc,test_f1,test_auc
1,0.6176129504945385,0.4746603260869565,0.4055822286040941,0.29391304347826086,0.302405498281787,0.6325674924057674,0.5313588850174216,0.2464985994397759,0.6214880100214746
2,0.6148593078019821,0.5169446331521739,0.45264437472778746,0.64,0.33440514469453375,0.6197535618020793,0.4721254355400697,0.24250000000000002,0.641337091386304
3,0.6099346791440725,0.4736430027173913,0.4097147552809233,0.17043478260869566,0.2912332838038633,0.5476832242330896,0.18815331010452963,0.2128378378378378,0.5278424003817704
4,0.6094480032815032,0.48111030910326086,0.4017142584930314,0.6330434782608696,0.3258785942492013,0.6033029564026868,0.6088850174216028,0.2722852512155592,0.6498225363874971
5,0.60867244898307,0.5010466202445653,0.43007540287456447,0.6991304347826087,0.33716475095785436,0.6241175715569247,0.6925087108013938,0.289738430583501,0.6450354927225006
