epoch,train_loss,vali_loss,test_loss,val_acc,val_f1,val_auc,test_acc,test_f1,test_auc
1,0.6088231768625886,0.5061523161436382,0.5355113666308554,0.8179824561403509,0.536312849162011,0.7110078668338844,0.18421052631578946,0.3111111111111111,0.5544514848950333
2,0.5457518988136035,0.44307884260227803,0.5001697693216173,0.8333333333333334,0.6122448979591837,0.7477859830801008,0.7741228070175439,0.3311688311688311,0.5708765360983103
3,0.5341379600229548,0.43824086534349543,0.4966727950071034,0.8289473684210527,0.6020408163265306,0.7578869931811109,0.7741228070175439,0.3223684210526316,0.5832533282130057
4,0.5305504250659872,0.445860356092453,0.4779273385280057,0.8245614035087719,0.5876288659793815,0.7314418631364328,0.7138157894736842,0.3255813953488372,0.5771649385560677
5,0.528778670661485,0.42519874635495636,0.48232304383265345,0.8333333333333334,0.6082474226804124,0.7532778474518299,0.7324561403508771,0.32967032967032966,0.5775169610855095
6,0.5300050059806055,0.4312428424232884,0.515245549772915,0.8355263157894737,0.6073298429319373,0.757349404408228,0.7489035087719298,0.32047477744807124,0.5550435227854582
7,0.529358898303402,0.4388900163926576,0.4808199837019569,0.8355263157894737,0.5945945945945945,0.7528357694627114,0.731359649122807,0.3287671232876712,0.5733806963645673
8,0.5280037279894103,0.45533907727191325,0.5237646404849855,0.8289473684210527,0.5979381443298969,0.762355324074074,0.7423245614035088,0.3342776203966006,0.5762288786482335
9,0.5257081222623142,0.42559708654880524,0.5002426234515089,0.8289473684210527,0.5979381443298969,0.7537053927716337,0.7116228070175439,0.32041343669250644,0.58101318484383
10,0.5222540024056364,0.4642672742667951,0.5100652881358799,0.8267543859649122,0.598984771573604,0.7546296296296297,0.7192982456140351,0.3435897435897436,0.5828453020993344
11,0.5218465870885707,0.44977061842617233,0.4886529320164731,0.8486842105263158,0.6187845303867403,0.7509120966822483,0.6798245614035088,0.3271889400921659,0.6000064004096263
12,0.522493691364331,0.4334706209207836,0.4893054754326218,0.8377192982456141,0.6063829787234042,0.752462452976481,0.4956140350877193,0.32944606413994165,0.5974942396313365
13,0.5266862814106158,0.43756479338595744,0.502893429445593,0.8377192982456141,0.6105263157894737,0.7627717313269965,0.7697368421052632,0.34375,0.5705965181771634
14,0.5280876326472012,0.43510183848832784,0.48827815722478063,0.8201754385964912,0.6095238095238096,0.7731671596358727,0.7269736842105263,0.32152588555858314,0.5677403353814644
15,0.5271969315276217,0.45398565969969096,0.4903162388425124,0.8223684210526315,0.5714285714285713,0.7529355176414001,0.7291666666666666,0.33062330623306235,0.5713085637480799
