epoch,train_loss,vali_loss,test_loss,val_acc,val_f1,val_auc,test_acc,test_f1,test_auc
1,0.5875290879258165,0.529632568359375,0.4524688720703125,0.21484375,0.3536977491961415,0.6717548620533695,0.1396484375,0.24507283633247642,0.6827667224943048
2,0.5675000800742759,0.5342445373535156,0.4669055938720703,0.677734375,0.48275862068965514,0.7448891904115784,0.8271484375,0.5014084507042254,0.8555995650206774
3,0.5523195008973818,0.4671506881713867,0.34460121393203735,0.705078125,0.5175718849840255,0.7586214643571253,0.8427734375,0.5386819484240688,0.8550915599723773
4,0.4949612649711403,0.455273300409317,0.31686514616012573,0.68359375,0.509090909090909,0.7538444142921754,0.8583984375,0.5482866043613708,0.864576966733607
5,0.4864999109560305,0.43289635702967644,0.2926431894302368,0.6875,0.5180722891566264,0.7549819145829121,0.85546875,0.5515151515151514,0.8658787296698762
