epoch,train_loss,vali_loss,test_loss,val_acc,val_f1,val_auc,test_acc,test_f1,test_auc
1,0.5791823069254557,0.4714345932006836,0.33674192428588867,0.541015625,0.47191011235955055,0.6415492799532699,0.791015625,0.45959595959595956,0.7986156862433821
2,0.5111898903374199,0.4514505863189697,0.30875682830810547,0.548828125,0.4713958810068649,0.7217092404124822,0.779296875,0.47685185185185186,0.8437884476476986
3,0.49750346965617964,0.43358874320983887,0.29186350107192993,0.673828125,0.5214899713467049,0.7606483483962028,0.8681640625,0.5846153846153846,0.8635292063214879
4,0.4931006748397071,0.4316414147615433,0.28282229602336884,0.69140625,0.5212121212121212,0.7573701823479865,0.8525390625,0.57703081232493,0.8745465658064978
5,0.48338135244610075,0.4414873868227005,0.2926858514547348,0.693359375,0.536873156342183,0.7568690885399114,0.857421875,0.5828571428571429,0.8806029384917013
