epoch,train_loss,vali_loss,test_loss,val_acc,val_f1,val_auc,test_acc,test_f1,test_auc
1,0.6176129504945385,0.4746603260869565,0.4055822286040941,0.29391304347826086,0.302405498281787,0.6325674924057674,0.5313588850174216,0.2464985994397759,0.6214880100214746
2,0.6148593078019821,0.5169446331521739,0.45264437472778746,0.64,0.33440514469453375,0.6197535618020793,0.4721254355400697,0.24250000000000002,0.641337091386304
3,0.6099346791440725,0.4736430027173913,0.4097147552809233,0.17043478260869566,0.2912332838038633,0.5476832242330896,0.18815331010452963,0.2128378378378378,0.5278424003817704
4,0.6094480032815032,0.48111030910326086,0.4017142584930314,0.6330434782608696,0.3258785942492013,0.6033029564026868,0.6088850174216028,0.2722852512155592,0.6498225363874971
5,0.60867244898307,0.5010466202445653,0.43007540287456447,0.6991304347826087,0.33716475095785436,0.6241175715569247,0.6925087108013938,0.289738430583501,0.6450354927225006
6,0.604787533136414,0.4836514945652174,0.4058442331772648,0.6260869565217392,0.35820895522388063,0.6166730843280709,0.7883275261324042,0.2702702702702703,0.6530213552851348
7,0.6048132155310688,0.5119532311480979,0.4302736076328397,0.6208695652173913,0.3312883435582822,0.6162452402344585,0.671602787456446,0.27639155470249516,0.6513287401574803
8,0.604106423742484,0.4838901154891304,0.4033449817617596,0.6069565217391304,0.3352941176470588,0.6133145081932143,0.6088850174216028,0.26753670473083196,0.6408300524934383
9,0.6034236614081783,0.47959578804347824,0.4087135235191638,0.6643478260869565,0.341296928327645,0.599409575150815,0.5322299651567944,0.24684431977559607,0.6235609043187783
10,0.603031233580919,0.4783237092391304,0.41253810975609756,0.6643478260869565,0.32280701754385965,0.6039447225431054,0.46602787456445993,0.23086574654956088,0.6101467430207588
11,0.6044990351241118,0.49787088145380437,0.42984838186656144,0.6904347826086956,0.3308270676691729,0.606961023403072,0.7003484320557491,0.2711864406779661,0.624947804819852
12,0.6031942774131392,0.4863733838952106,0.4089374608694469,0.6086956521739131,0.3323442136498516,0.6138707055149103,0.5810104529616724,0.27010622154779973,0.6376312335958005
13,0.602445520150397,0.49232846467391306,0.4286428843641115,0.7478260869565218,0.3378995433789954,0.6036880160869378,0.7081881533101045,0.26695842450765866,0.6267000715819614
